F98F	CJK COMPATIBILITY IDEOGRAPH-F98F
	: 6190
F990	CJK COMPATIBILITY IDEOGRAPH-F990
	: 6200
F991	CJK COMPATIBILITY IDEOGRAPH-F991
	: 649A
F992	CJK COMPATIBILITY IDEOGRAPH-F992
	: 6F23
F993	CJK COMPATIBILITY IDEOGRAPH-F993
	: 7149
F994	CJK COMPATIBILITY IDEOGRAPH-F994
	: 7489
F995	CJK COMPATIBILITY IDEOGRAPH-F995
	: 79CA
F996	CJK COMPATIBILITY IDEOGRAPH-F996
	: 7DF4
F997	CJK COMPATIBILITY IDEOGRAPH-F997
	: 806F
F998	CJK COMPATIBILITY IDEOGRAPH-F998
	: 8F26
F999	CJK COMPATIBILITY IDEOGRAPH-F999
	: 84EE
F99A	CJK COMPATIBILITY IDEOGRAPH-F99A
	: 9023
F99B	CJK COMPATIBILITY IDEOGRAPH-F99B
	: 934A
F99C	CJK COMPATIBILITY IDEOGRAPH-F99C
	: 5217
F99D	CJK COMPATIBILITY IDEOGRAPH-F99D
	: 52A3
F99E	CJK COMPATIBILITY IDEOGRAPH-F99E
	: 54BD
F99F	CJK COMPATIBILITY IDEOGRAPH-F99F
	: 70C8
F9A0	CJK COMPATIBILITY IDEOGRAPH-F9A0
	: 88C2
F9A1	CJK COMPATIBILITY IDEOGRAPH-F9A1
	: 8AAA
F9A2	CJK COMPATIBILITY IDEOGRAPH-F9A2
	: 5EC9
F9A3	CJK COMPATIBILITY IDEOGRAPH-F9A3
	: 5FF5
F9A4	CJK COMPATIBILITY IDEOGRAPH-F9A4
	: 637B
F9A5	CJK COMPATIBILITY IDEOGRAPH-F9A5
	: 6BAE
F9A6	CJK COMPATIBILITY IDEOGRAPH-F9A6
	: 7C3E
F9A7	CJK COMPATIBILITY IDEOGRAPH-F9A7
	: 7375
F9A8	CJK COMPATIBILITY IDEOGRAPH-F9A8
	: 4EE4
F9A9	CJK COMPATIBILITY IDEOGRAPH-F9A9
	: 56F9
F9AA	CJK COMPATIBILITY IDEOGRAPH-F9AA
	: 5BE7
F9AB	CJK COMPATIBILITY IDEOGRAPH-F9AB
	: 5DBA
F9AC	CJK COMPATIBILITY IDEOGRAPH-F9AC
	: 601C
F9AD	CJK COMPATIBILITY IDEOGRAPH-F9AD
	: 73B2
F9AE	CJK COMPATIBILITY IDEOGRAPH-F9AE
	: 7469
F9AF	CJK COMPATIBILITY IDEOGRAPH-F9AF
	: 7F9A
F9B0	CJK COMPATIBILITY IDEOGRAPH-F9B0
	: 8046
F9B1	CJK COMPATIBILITY IDEOGRAPH-F9B1
	: 9234
F9B2	CJK COMPATIBILITY IDEOGRAPH-F9B2
	: 96F6
F9B3	CJK COMPATIBILITY IDEOGRAPH-F9B3
	: 9748
F9B4	CJK COMPATIBILITY IDEOGRAPH-F9B4
	: 9818
F9B5	CJK COMPATIBILITY IDEOGRAPH-F9B5
	: 4F8B
F9B6	CJK COMPATIBILITY IDEOGRAPH-F9B6
	: 79AE
F9B7	CJK COMPATIBILITY IDEOGRAPH-F9B7
	: 91B4
F9B8	CJK COMPATIBILITY IDEOGRAPH-F9B8
	: 96B8
F9B9	CJK COMPATIBILITY IDEOGRAPH-F9B9
	: 60E1
F9BA	CJK COMPATIBILITY IDEOGRAPH-F9BA
	: 4E86
F9BB	CJK COMPATIBILITY IDEOGRAPH-F9BB
	: 50DA
F9BC	CJK COMPATIBILITY IDEOGRAPH-F9BC
	: 5BEE
F9BD	CJK COMPATIBILITY IDEOGRAPH-F9BD
	: 5C3F
F9BE	CJK COMPATIBILITY IDEOGRAPH-F9BE
	: 6599
F9BF	CJK COMPATIBILITY IDEOGRAPH-F9BF
	: 6A02
F9C0	CJK COMPATIBILITY IDEOGRAPH-F9C0
	: 71CE
F9C1	CJK COMPATIBILITY IDEOGRAPH-F9C1
	: 7642
F9C2	CJK COMPATIBILITY IDEOGRAPH-F9C2
	: 84FC
F9C3	CJK COMPATIBILITY IDEOGRAPH-F9C3
	: 907C
F9C4	CJK COMPATIBILITY IDEOGRAPH-F9C4
	: 9F8D
F9C5	CJK COMPATIBILITY IDEOGRAPH-F9C5
	: 6688
F9C6	CJK COMPATIBILITY IDEOGRAPH-F9C6
	: 962E
F9C7	CJK COMPATIBILITY IDEOGRAPH-F9C7
	: 5289
F9C8	CJK COMPATIBILITY IDEOGRAPH-F9C8
	: 677B
F9C9	CJK COMPATIBILITY IDEOGRAPH-F9C9
	: 67F3
F9CA	CJK COMPATIBILITY IDEOGRAPH-F9CA
	: 6D41
F9CB	CJK COMPATIBILITY IDEOGRAPH-F9CB
	: 6E9C
F9CC	CJK COMPATIBILITY IDEOGRAPH-F9CC
	: 7409
F9CD	CJK COMPATIBILITY IDEOGRAPH-F9CD
	: 7559
F9CE	CJK COMPATIBILITY IDEOGRAPH-F9CE
	: 786B
F9CF	CJK COMPATIBILITY IDEOGRAPH-F9CF
	: 7D10
F9D0	CJK COMPATIBILITY IDEOGRAPH-F9D0
	: 985E
F9D1	CJK COMPATIBILITY IDEOGRAPH-F9D1
	: 516D
F9D2	CJK COMPATIBILITY IDEOGRAPH-F9D2
	: 622E
F9D3	CJK COMPATIBILITY IDEOGRAPH-F9D3
	: 9678
F9D4	CJK COMPATIBILITY IDEOGRAPH-F9D4
	: 502B
F9D5	CJK COMPATIBILITY IDEOGRAPH-F9D5
	: 5D19
F9D6	CJK COMPATIBILITY IDEOGRAPH-F9D6
	: 6DEA
F9D7	CJK COMPATIBILITY IDEOGRAPH-F9D7
	: 8F2A
F9D8	CJK COMPATIBILITY IDEOGRAPH-F9D8
	: 5F8B
F9D9	CJK COMPATIBILITY IDEOGRAPH-F9D9
	: 6144
F9DA	CJK COMPATIBILITY IDEOGRAPH-F9DA
	: 6817
F9DB	CJK COMPATIBILITY IDEOGRAPH-F9DB
	: 7387
F9DC	CJK COMPATIBILITY IDEOGRAPH-F9DC
	: 9686
F9DD	CJK COMPATIBILITY IDEOGRAPH-F9DD
	: 5229
F9DE	CJK COMPATIBILITY IDEOGRAPH-F9DE
	: 540F
F9DF	CJK COMPATIBILITY IDEOGRAPH-F9DF
	: 5C65
F9E0	CJK COMPATIBILITY IDEOGRAPH-F9E0
	: 6613
F9E1	CJK COMPATIBILITY IDEOGRAPH-F9E1
	: 674E
F9E2	CJK COMPATIBILITY IDEOGRAPH-F9E2
	: 68A8
F9E3	CJK COMPATIBILITY IDEOGRAPH-F9E3
	: 6CE5
F9E4	CJK COMPATIBILITY IDEOGRAPH-F9E4
	: 7406
F9E5	CJK COMPATIBILITY IDEOGRAPH-F9E5
	: 75E2
F9E6	CJK COMPATIBILITY IDEOGRAPH-F9E6
	: 7F79
F9E7	CJK COMPATIBILITY IDEOGRAPH-F9E7
	: 88CF
F9E8	CJK COMPATIBILITY IDEOGRAPH-F9E8
	: 88E1
F9E9	CJK COMPATIBILITY IDEOGRAPH-F9E9
	: 91CC
F9EA	CJK COMPATIBILITY IDEOGRAPH-F9EA
	: 96E2
F9EB	CJK COMPATIBILITY IDEOGRAPH-F9EB
	: 533F
F9EC	CJK COMPATIBILITY IDEOGRAPH-F9EC
	: 6EBA
F9ED	CJK COMPATIBILITY IDEOGRAPH-F9ED
	: 541D
F9EE	CJK COMPATIBILITY IDEOGRAPH-F9EE
	: 71D0
F9EF	CJK COMPATIBILITY IDEOGRAPH-F9EF
	: 7498
F9F0	CJK COMPATIBILITY IDEOGRAPH-F9F0
	: 85FA
F9F1	CJK COMPATIBILITY IDEOGRAPH-F9F1
	: 96A3
F9F2	CJK COMPATIBILITY IDEOGRAPH-F9F2
	: 9C57
F9F3	CJK COMPATIBILITY IDEOGRAPH-F9F3
	: 9E9F
F9F4	CJK COMPATIBILITY IDEOGRAPH-F9F4
	: 6797
F9F5	CJK COMPATIBILITY IDEOGRAPH-F9F5
	: 6DCB
F9F6	CJK COMPATIBILITY IDEOGRAPH-F9F6
	: 81E8
F9F7	CJK COMPATIBILITY IDEOGRAPH-F9F7
	: 7ACB
F9F8	CJK COMPATIBILITY IDEOGRAPH-F9F8
	: 7B20
F9F9	CJK COMPATIBILITY IDEOGRAPH-F9F9
	: 7C92
F9FA	CJK COMPATIBILITY IDEOGRAPH-F9FA
	: 72C0
F9FB	CJK COMPATIBILITY IDEOGRAPH-F9FB
	: 7099
F9FC	CJK COMPATIBILITY IDEOGRAPH-F9FC
	: 8B58
F9FD	CJK COMPATIBILITY IDEOGRAPH-F9FD
	: 4EC0
F9FE	CJK COMPATIBILITY IDEOGRAPH-F9FE
	: 8336
F9FF	CJK COMPATIBILITY IDEOGRAPH-F9FF
	: 523A
FA00	CJK COMPATIBILITY IDEOGRAPH-FA00
	: 5207
FA01	CJK COMPATIBILITY IDEOGRAPH-FA01
	: 5EA6
FA02	CJK COMPATIBILITY IDEOGRAPH-FA02
	: 62D3
FA03	CJK COMPATIBILITY IDEOGRAPH-FA03
	: 7CD6
FA04	CJK COMPATIBILITY IDEOGRAPH-FA04
	: 5B85
FA05	CJK COMPATIBILITY IDEOGRAPH-FA05
	: 6D1E
FA06	CJK COMPATIBILITY IDEOGRAPH-FA06
	: 66B4
FA07	CJK COMPATIBILITY IDEOGRAPH-FA07
	: 8F3B
FA08	CJK COMPATIBILITY IDEOGRAPH-FA08
	: 884C
FA09	CJK COMPATIBILITY IDEOGRAPH-FA09
	: 964D
FA0A	CJK COMPATIBILITY IDEOGRAPH-FA0A
	: 898B
FA0B	CJK COMPATIBILITY IDEOGRAPH-FA0B
	: 5ED3
FA0C	CJK COMPATIBILITY IDEOGRAPH-FA0C
	: 5140
FA0D	CJK COMPATIBILITY IDEOGRAPH-FA0D
	: 55C0
FA10	CJK COMPATIBILITY IDEOGRAPH-FA10
	: 585A
FA12	CJK COMPATIBILITY IDEOGRAPH-FA12
	: 6674
FA15	CJK COMPATIBILITY IDEOGRAPH-FA15
	: 51DE
FA16	CJK COMPATIBILITY IDEOGRAPH-FA16
	: 732A
FA17	CJK COMPATIBILITY IDEOGRAPH-FA17
	: 76CA
FA18	CJK COMPATIBILITY IDEOGRAPH-FA18
	: 793C
FA19	CJK COMPATIBILITY IDEOGRAPH-FA19
	: 795E
FA1A	CJK COMPATIBILITY IDEOGRAPH-FA1A
	: 7965
FA1B	CJK COMPATIBILITY IDEOGRAPH-FA1B
	: 798F
FA1C	CJK COMPATIBILITY IDEOGRAPH-FA1C
	: 9756
FA1D	CJK COMPATIBILITY IDEOGRAPH-FA1D
	: 7CBE
